date,fighter,pre_elo,post_elo
2025-05-10,Natalia Silva,2112.339370720448,2211.83072681492
2024-09-07,Natalia Silva,2000.2571279223428,2112.339370720448
2024-02-03,Natalia Silva,1867.2175217276463,2000.2571279223428
2023-08-19,Natalia Silva,1770.7245188149973,1867.2175217276463
2023-05-20,Natalia Silva,1732.6911187791497,1770.7245188149973
2022-11-19,Natalia Silva,1661.8825536565212,1732.6911187791497
2022-06-18,Natalia Silva,1500.0,1661.8825536565212
